adID	Title	Location	AdPriority	Cost	Pictures	AdDuration	AdURL	Call	Email	Area	Bathrooms	Bedrooms
42	Flat Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	7000000	8	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_flat_available_for_sale_in_saima_arabian_villas-39426713-8856-1.html	TRUE	TRUE	106		
43	House Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	13500000	8	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_house_available_for_sale_in_saima_arabian_villas-39426680-8856-1.html	TRUE	TRUE	160		
44	Flat Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	7000000	8	1 week ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_flat_available_for_sale_in_saima_arabian_villas-39426683-8856-1.html	TRUE	TRUE	106		
45	160 Sq Yd Villa Available For Sale In Saima Arabian Villa	"Saima Arabian Villas, Gadap Town"	Normal	14500000	25	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_160_sq_yd_villa_available_for_sale_in_saima_arabian_villa-41373477-8856-1.html	TRUE	TRUE	160	3	3
46	Two Bed Dd Flat Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	7300000	16	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_two_bed_dd_flat_available_for_sale_in_saima_arabian_villas-41365644-8856-1.html	TRUE	TRUE	83	2	2
47	Prime Location sale E House In Karachi Prime Location	"Saima Arabian Villas, Gadap Town"	Normal	14600000	8	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_prime_location_sale_e_house_in_karachi_prime_location-41602758-8856-1.html	TRUE	TRUE	160	3	3
48	Luxury Bungalow Available For Sale In Ali Town	"Saima Arabian Villas, Gadap Town"	Normal	7200000	18	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_bungalow_available_for_sale_in_ali_town-40047096-8856-1.html	TRUE	TRUE	120		
49	Luxury Bungalow Available For Sale	"Saima Arabian Villas, Gadap Town"	Normal	6600000	11	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_bungalow_available_for_sale-40045752-8856-1.html	TRUE	TRUE	120		
50	Luxury Bungalow Available For Sale In Ali Town	"Saima Arabian Villas, Gadap Town"	Normal	6600000	10	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_bungalow_available_for_sale_in_ali_town-40045744-8856-1.html	TRUE	TRUE	120	2	2
51	Luxury Bungalow Available For Sale In Ali Town	"Saima Arabian Villas, Gadap Town"	Normal	7200000	10	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_bungalow_available_for_sale_in_ali_town-40045731-8856-1.html	TRUE	TRUE	120	2	2
52	Luxury Bungalow Available For Sale	"Saima Arabian Villas, Gadap Town"	Normal	6600000	8	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_bungalow_available_for_sale-40045728-8856-1.html	TRUE	TRUE	120	2	2
53	Luxury Bungalow Available For Sale In Ali Town	"Saima Arabian Villas, Gadap Town"	Normal	7200000	7	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_bungalow_available_for_sale_in_ali_town-40045706-8856-1.html	TRUE	TRUE	120	2	2
54	Luxury Bungalow  Available For Sale In Ali Town	"Saima Arabian Villas, Gadap Town"	Normal	7200000	15	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_bungalow__available_for_sale_in_ali_town-40045683-8856-1.html	TRUE	TRUE	120		
55	Luxury Banglow Available For Sale	"Saima Arabian Villas, Gadap Town"	Normal	6600000	16	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_banglow_available_for_sale-40044754-8856-1.html	TRUE	TRUE	120		
56	Luxury Banglow Available For Sale	"Saima Arabian Villas, Gadap Town"	Normal	6600000	15	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_luxury_banglow_available_for_sale-40044681-8856-1.html	TRUE	TRUE	120		
57	1080 Square Feet House For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	12500000	9	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_1080_square_feet_house_for_sale_in_saima_arabian_villas-42505523-8856-1.html	TRUE	TRUE	120	2	2
58	160 Sq Yd Corner Villa Available For Sale In Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	17800000	13	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_160_sq_yd_corner_villa_available_for_sale_in_saima_arabian_villas-41373151-8856-1.html	TRUE	TRUE	160	3	3
59	160 Sq Yd House For Sale Block E Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	14000000	22	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_160_sq_yd_house_for_sale_block_e_saima_arabian_villas-42337904-8856-1.html	TRUE	TRUE	160	2	2
60	120 Sq Yd House For Sale Block C Saima Arabian Villas	"Saima Arabian Villas, Gadap Town"	Normal	12500000	15	2 weeks ago	www.zameen.com/Property/gadap_town_saima_arabian_villas_120_sq_yd_house_for_sale_block_c_saima_arabian_villas-42337765-8856-1.html	TRUE	TRUE	120	2	2
